109,710,2010-01-01,2010-01-01,42,6720,0.01,160,6652.8,Susan Tillman,Sigma-Aldrich Corporation,Consumer Durables,Specialty Chemicals,Ocoee,34761,Florida,South,2010-01-05,4,Development - Java,Development,Strategy,Sophia Dixon,Frank Mitchell,71,1,0.55625
110,710,2010-01-01,2010-01-01,11,1375,0.09,125,1251.25,Susan Tillman,Sigma-Aldrich Corporation,Consumer Durables,Specialty Chemicals,Ocoee,34761,Florida,South,2010-01-03,2,Training - SQL,Training,Python,Isabella Douglas,Frank Mitchell,75,1,0.4
111,710,2010-01-01,2010-01-01,29,4350,0.02,150,4263,Susan Tillman,Sigma-Aldrich Corporation,Consumer Durables,Specialty Chemicals,Ocoee,34761,Florida,South,2010-01-05,4,Consulting - Strategy,Consulting,.Net,Isabella Douglas,Frank Mitchell,75,1,0.5
5623,39841,2010-01-01,2010-01-01,43,4730,0.01,110,4682.7,Benjamin Schmidt,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,Fresno,93727,California,West,2010-01-03,2,Development - Python,Development,SQL,Jayden Hamilton,Bob Turner,71,1,0.354545455
8279,59174,2010-01-01,2010-01-01,6,900,0.09,150,819,Emily Dahlen,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Altamonte Springs,32701,Florida,South,2010-01-03,2,Consulting - Strategy,Consulting,Development,Mia Moore,Frank Mitchell,51,1,0.66
3621,25860,2010-01-02,2010-01-01,9,990,0.05,110,940.5,Elpida Elijah,"Fiserv, Inc.",Technology,EDP Services,Wilmington,19805,Delaware,East,2010-01-04,2,Development - PHP,Development,Python,Emily Taylor,Allen Young,62,1,0.436363636
3622,25860,2010-01-02,2010-01-01,23,3450,0.07,150,3208.5,Elpida Elijah,"Fiserv, Inc.",Technology,EDP Services,Wilmington,19805,Delaware,East,2010-01-11,9,Consulting - Market Research,Consulting,Business Model,Sophia Dixon,Allen Young,71,1,0.526666667
5376,38215,2010-01-02,2010-01-01,42,6300,0.07,150,5859,Dennis Chand,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,Charlotte,28205,North Carolina,South,2010-01-03,1,Consulting - Market Research,Consulting,.Net,Mia Moore,Frank Mitchell,51,1,0.66
5377,38215,2010-01-02,2010-01-01,38,4180,0.09,110,3803.8,Dennis Chand,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,Concord,28027,North Carolina,South,2010-01-04,2,Development - Python,Development,Market Research,Liam Franklin,Frank Mitchell,52,1,0.527272727
6806,48480,2010-01-02,2010-01-01,32,6400,0.1,200,5760,Sean Kipp,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Minnetonka Mills,55343,Minnesota,Central,2010-01-05,3,Development - Big Data,Development,Python,Abigail Young,Josh Martinez,50,1,0.75
