1914,13729,2009-01-01,2009-01-01,9,1800,0.08,200,1656,Matt Bertelson,The Priceline Group Inc.,Miscellaneous,Business Services,Bowie,20715,Maryland,East,2009-01-03,2,Development - Big Data,Development,Python,Noah Smith,Allen Young,59,1,0.71
4031,28774,2009-01-01,2009-01-01,32,6400,0.1,200,5760,Jessica Thornton,Garmin Ltd.,Capital Goods,Industrial Machinery/Components,McKeesport,15131,Pennsylvania,East,2009-01-02,1,Development - Big Data,Development,Market Research,Daniel Tusk,Allen Young,45,1,0.78
1279,9285,2009-01-02,2009-01-01,3,480,0.06,160,451.2,David O'Rourke,"Wynn Resorts, Limited",Consumer Services,Hotels/Resorts,Prior Lake,55372,Minnesota,Central,2009-01-04,2,Development - Java,Development,Python,Mason Gibson,Josh Martinez,71,1,0.56
5272,37537,2009-01-02,2009-01-01,4,500,0,125,500,Alan Brumley,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Napa,94559,California,West,2009-01-02,0,Training - Development,Training,Java,William Bufont,Bob Turner,62,1,0.5
5273,37537,2009-01-02,2009-01-01,43,5375,0.07,125,4998.75,Alan Brumley,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Napa,94559,California,West,2009-01-04,2,Training - Development,Training,Strategy,Liam Franklin,Bob Turner,52,1,0.58
5274,37537,2009-01-02,2009-01-01,32,6400,0.05,200,6080,Alan Brumley,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Napa,94559,California,West,2009-01-09,7,Development - Big Data,Development,.Net,Emma Watson,Bob Turner,67,1,0.67
6224,44069,2009-01-02,2009-01-01,16,1760,0.09,110,1601.6,Elizabeth Hansen,Fastenal Company,Consumer Services,RETAIL: Building Materials,Montebello,90640,California,West,2009-01-04,2,Development - Python,Development,Business Model,Sophia Dixon,Bob Turner,71,1,0.35
6225,44069,2009-01-02,2009-01-01,43,4730,0.08,110,4351.6,Elizabeth Hansen,Fastenal Company,Consumer Services,RETAIL: Building Materials,Montebello,90640,California,West,2009-01-02,0,Development - Python,Development,SQL,Mia Moore,Bob Turner,51,1,0.54
1074,7909,2009-01-03,2009-01-01,29,3480,0.03,120,3375.6,Alex Grayson,"C.H. Robinson Worldwide, Inc.",Transportation,Oil Refining/Marketing,Lake Oswego,97035,Oregon,West,2009-01-04,1,Development - Business Logic,Development,Market Research,Abigail Young,Bob Turner,50,1,0.58
1315,9637,2009-01-03,2009-01-01,12,1800,0.08,150,1656,Andy Willingham,DIRECTV,Consumer Services,Telecommunications Equipment,Baton Rouge,70802,Louisiana,South,2009-01-05,2,Consulting - Business Model,Consulting,Java,Madison Hill,Frank Mitchell,58,1,0.61
1316,9637,2009-01-03,2009-01-01,49,7350,0.05,150,6982.5,Andy Willingham,DIRECTV,Consumer Services,Telecommunications Equipment,Baton Rouge,70802,Louisiana,South,2009-01-10,7,Consulting - Strategy,Consulting,Market Research,Isabella Douglas,Frank Mitchell,75,1,0.5
1317,9637,2009-01-03,2009-01-01,12,1320,0.04,110,1267.2,Andy Willingham,DIRECTV,Consumer Services,Telecommunications Equipment,Baton Rouge,70802,Louisiana,South,2009-01-07,4,Development - Python,Development,Python,Emma Watson,Frank Mitchell,67,1,0.39
1336,9762,2009-01-03,2009-01-01,12,1500,0.05,125,1425,Larry Elliston,Comcast Corporation,Consumer Services,Television Services,Draper,84020,Utah,West,2009-01-04,1,Training - SQL,Training,Business Model,Liam Franklin,Bob Turner,52,1,0.58
1663,11972,2009-01-03,2009-01-01,4,600,0,150,600,Ann Chapman,Fastenal Company,Consumer Services,RETAIL: Building Materials,Layton,84041,Utah,West,2009-01-05,2,Consulting - Strategy,Consulting,Scala,Mia Moore,Bob Turner,51,1,0.66
4223,30016,2009-01-03,2009-01-01,15,1650,0.03,110,1600.5,Bill McGarr,SanDisk Corporation,Technology,Electronic Components,Kearney,68847,Nebraska,Central,2009-01-05,2,Development - Python,Development,Development,Jayden Hamilton,Josh Martinez,71,1,0.35
4224,30016,2009-01-03,2009-01-01,8,1200,0.01,150,1188,Bill McGarr,SanDisk Corporation,Technology,Electronic Components,Kearney,68847,Nebraska,Central,2009-01-06,3,Consulting - Market Research,Consulting,SQL,Daniel Tusk,Josh Martinez,45,1,0.7
5704,40354,2009-01-03,2009-01-01,29,4640,0.03,160,4500.8,Patrick Fjeld,"Intuitive Surgical, Inc.",Health Care,Industrial Specialties,Phenix City,36869,Alabama,South,2009-01-04,1,Development - Java,Development,Database,Ethan Bird,Frank Mitchell,60,1,0.63
5705,40354,2009-01-03,2009-01-01,4,500,0.09,125,455,Patrick Fjeld,"Intuitive Surgical, Inc.",Health Care,Industrial Specialties,Phenix City,36869,Alabama,South,2009-01-04,1,Training - Javascript,Training,SQL,Madison Hill,Frank Mitchell,58,1,0.54
1193,8710,2009-01-04,2009-01-01,17,2720,0.03,160,2638.4,Tamara O'Brill,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Pharr,78577,Texas,Central,2009-01-05,1,Development - Java,Development,.Net,Daniel Tusk,Josh Martinez,45,1,0.72
1194,8710,2009-01-04,2009-01-01,42,4620,0.07,110,4296.6,Tamara O'Brill,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Pharr,78577,Texas,Central,2009-01-06,2,Development - Python,Development,Java,Michael Alister,Josh Martinez,68,1,0.38
6953,49730,2009-01-04,2009-01-01,3,375,0.06,125,352.5,Dave Hart,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Bryan,77803,Texas,Central,2009-01-05,1,Training - Development,Training,Front End Web,Michael Alister,Josh Martinez,68,1,0.46
47,290,2009-01-05,2009-01-01,24,2640,0.05,110,2508,Dorris Engle,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores,Deer Park,11729,New York,East,2009-01-06,1,Development - Python,Development,Python,Ava Wilson,Allen Young,67,1,0.39
164,1028,2009-01-05,2009-01-01,6,900,0.03,150,873,Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Iowa,Central,2009-01-06,1,Consulting - Business Model,Consulting,Business Model,Sophia Dixon,Josh Martinez,71,1,0.53
165,1028,2009-01-05,2009-01-01,11,1650,0.01,150,1633.5,Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Iowa,Central,2009-01-07,2,Consulting - Market Research,Consulting,PHP,Daniel Tusk,Josh Martinez,45,1,0.7
3588,25601,2009-01-05,2009-01-01,43,8600,0.09,200,7826,Valerie Bell,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,Ormond Beach,32174,Florida,South,2009-01-06,1,Development - Big Data,Development,Business Model,Mason Gibson,Frank Mitchell,71,1,0.65
3981,28451,2009-01-05,2009-01-01,21,2625,0.01,125,2598.75,Pauline Wardle,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Norman,73071,Oklahoma,Central,2009-01-07,2,Training - SQL,Training,Java,Noah Smith,Josh Martinez,59,1,0.53
3982,28451,2009-01-05,2009-01-01,41,5125,0.02,125,5022.5,Pauline Wardle,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Norman,73071,Oklahoma,Central,2009-01-06,1,Training - SQL,Training,Market Research,Alexander Edison,Josh Martinez,70,1,0.44
3983,28451,2009-01-05,2009-01-01,33,4950,0,150,4950,Pauline Wardle,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Norman,73071,Oklahoma,Central,2009-01-07,2,Consulting - Strategy,Consulting,Java,Daniel Tusk,Josh Martinez,45,1,0.7
4555,32418,2009-01-05,2009-01-01,5,625,0.08,125,575,Marina Crebassa,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Dubuque,52001,Iowa,Central,2009-01-06,1,Training - Development,Training,.Net,Michael Alister,Josh Martinez,68,1,0.46
7352,52386,2009-01-05,2009-01-01,6,900,0.08,150,828,Susan Harms,SanDisk Corporation,Technology,Electronic Components,Mount Prospect,60056,Illinois,Central,2009-01-07,2,Consulting - Strategy,Consulting,Java,Jayden Hamilton,Josh Martinez,71,1,0.53
8011,57253,2009-01-05,2009-01-01,43,5375,0.08,125,4945,Darren Perrino,Seagate Technology.,Technology,Electronic Components,Bedford,76021,Texas,Central,2009-01-06,1,Training - Development,Training,SQL,Jayden Hamilton,Josh Martinez,71,1,0.43
8012,57253,2009-01-05,2009-01-01,29,3625,0.06,125,3407.5,Darren Perrino,Seagate Technology.,Technology,Electronic Components,Bedford,76021,Texas,Central,2009-01-07,2,Training - Development,Training,Market Research,Olivia Sullivan,Josh Martinez,53,1,0.58
8013,57253,2009-01-05,2009-01-01,48,6000,0.07,125,5580,Darren Perrino,Seagate Technology.,Technology,Electronic Components,Bedford,76021,Texas,Central,2009-01-05,0,Training - SQL,Training,Business Model,Alexander Edison,Josh Martinez,70,1,0.44
8014,57253,2009-01-05,2009-01-01,49,6125,0.08,125,5635,Darren Perrino,Seagate Technology.,Technology,Electronic Components,Bedford,76021,Texas,Central,2009-01-06,1,Training - Javascript,Training,Business Logic,William Bufont,Josh Martinez,62,1,0.5
